score,actions,loss,eps
13.8,4.42,5.60021523023263,0.9997265125
508.4,272.94,3.738427285118366,0.98283835
463.3,268.12,3.369245290053739,0.966248425
457.1,256.64,3.088994301590799,0.950368825
493.7,275.82,2.807443224037889,0.9333024625
501.4,274.46,2.368895285037293,0.9163202500000001
549.1,277.02,3.5101673318310236,0.8991796375
567.1,282.54,3.1808658106578354,0.881697475
541.6,267.04,2.8812812552784575,0.865174375
586.8,282.94,2.708164987003221,0.8476674625
583.1,292.34,2.5110766324321996,0.8295789250000001
603.6,289.38,3.4286828508966325,0.8116735374999999
651.8,300.0,2.9862686784307164,0.7931110375
580.5,281.84,2.850609792888655,0.7756721875
638.7,292.66,2.734015542464679,0.7575638499999999
720.9,300.62,2.648499858608567,0.7389629875
693.8,292.66,3.5627492976426542,0.7208546499999999
661.1,294.7,3.22368994110675,0.7026200874999999
782.5,307.76,3.1996870751439177,0.6835774375
819.6,322.06,3.240688860990139,0.663649975
811.2,315.86,3.183935666196758,0.6441061374999999
840.8,323.62,4.057944266266113,0.62408215
827.4,305.14,3.5629474461418527,0.6052016124999999
811.2,315.98,3.5235357539617107,0.5856503500000001
901.8,326.94,3.587904186965479,0.5654209375
886.6,320.54,3.617333505510235,0.545587525
903.2,320.42,4.365323144114499,0.5257615375
904.4,316.2,3.7501238515375537,0.5061966625000001
1000.9,333.2,3.8164958735366685,0.4855799125
982.3,328.46,3.9521168029526805,0.46525645000000004
1008.0,331.88,4.01332536877114,0.444721375
1196.1,361.68,4.982827284943343,0.42234242499999997
1183.6,360.86,4.422755941681723,0.4000142125
1125.9,337.92,4.581131955107787,0.37910541250000007
1167.2,340.88,4.6393485507881715,0.3580134625
1206.8,342.84,4.868223952699077,0.3368002375000001
1332.8,371.7,5.742726057147287,0.31380130000000006
1295.8,362.52,4.920504944004603,0.29137037500000007
1244.4,356.46,4.880621982424747,0.2693144125
1304.3,370.22,4.859759659359118,0.24640705000000007
1478.1,384.4,5.112630965973906,0.22262229999999994
1469.4,390.48,6.124714160632267,0.19846134999999998
1491.9,392.26,5.321603476755028,0.17419026249999991
1545.0,388.52,5.395887664125838,0.1501505875
1612.9,409.24,5.570267478504578,0.12482886249999992
1603.1,405.94,5.653649089306676,0.09971132500000002
1811.1,429.56,6.730156490684877,0.07313229999999993
1666.0,418.9,5.6808882713033295,0.05
1727.4,423.52,5.7689308309368155,0.05
1695.3,413.42,5.703253845167139,0.05
1739.2,412.04,5.675949205896043,0.05
1824.6,413.3,7.025022696969932,0.05
1766.0,421.38,6.084742188006689,0.05
1877.0,436.54,6.23474872548106,0.05
1707.4,421.08,6.3334345697077,0.05
1868.2,421.82,6.380360329107632,0.05
1789.1,425.46,7.57993289004124,0.05
1833.7,419.16,6.617172451445433,0.05
1906.6,426.9,6.827222774419162,0.05
1807.2,420.92,7.213626638129899,0.05
